id,destination_name,country_name,airport,phone,opening_hours
<<<<<<< HEAD
2,reykjavik,iceland,RVK,+3545555555,09:00 - 17:00
3,nuuk,greenland,GOH,+299326005,10:00 - 16:00
4,kulusuk,greenland,KUS,+299986988,10:30 - 15:30
5,torshavn,faroeislands,FAE,+298354400,09:30 - 16:00
6,tingwall,unitedkingdom,LWK,+441595840246,10:00 - 15:00
7,longyearbyer,svalbard,LYR,+4767035400,12:00 - 14:00
=======
2,reykjavik,iceland,RVK,"+3545555555","09:00 - 17:00"
3,nuuk,greenland,GOH,"+299326005","10:00 - 16:00"
4,kulusuk,greenland,KUS,"+299986988","10:30 - 15:30"
5,torshavn,faroeislands,FAE,"+298354400","09:30 - 16:00"
6,tingwall,unitedkingdom,LWK,"+441595840246","10:00 - 15:00"
7,longyearbyer,svalbard,LYR,"+4767035400","12:00 - 14:00"

>>>>>>> ea96183868ab844c0b4ade4b71d8f42291684e47
